review,rating,date,product_name,category,scraped_date
"Warna: Abu abu
Bentuk dan ukuran: 40
Kereeeeen bagus 😍",bintang 5,3 minggu lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Barang datang sesuai dengan pesanan....dan pengirimannya juga cepat datangnya
Bentuk dan ukuran: Pas seharisnya 1 nomor lagi",bintang 5,2 minggu lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Barang sesuai pesanan
Bentuk dan ukuran: Pas
Aroma: Seperti sepatu baru",bintang 5,2 minggu lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Terimanya.aman.. 
Peckingan rapi🙏",bintang 5,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Pengiriman cepat,barang sesuai pesanan",bintang 5,2 minggu lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Barang datang selamat sampai tujuan,tapi ada pecah pecah  bagian sampingnya",bintang 4,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Alhamdulillah sepatu untuk suami sudah tiba dengan selamat tanpa ada riject sedikit pun, ukurannya pas, warna sesuai sama orderan. Pokoknya top markotop
Bentuk dan ukuran...",bintang 5,2 minggu lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Mantap gan sesuai pesanan dan sampai tujuan dengan selamat dan cepat. Tks
Bentuk dan ukuran: Sesuai
Aroma: Wangi baru
Daya tahan pakai: Awet",bintang 5,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Diharapkan beli nya lebihin 1 ukuran , karna ini udh di lebihin 1 ukuran tapi ngepress , tapi over all bagus sepatunya",bintang 4,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Bagus dan cepat disaat pengiriman, barangnya juga ok serta recomended",bintang 5,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:35
"Mantap Broooo sepatunya, bagus dan sesuai dengan ekspetasi nya. Dipalainya enak dan nyaman, pokoknya keren abisss brroooo..... 👍👍👍",bintang 5,2 hari lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:41
"Kirain kayak sepatu sketcher, ternyata bawahnya keras x. jauh dari ekspektasi tapi untuk harga segitu ya cucok lah 😌",bintang 4,,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:41
"Barang sampai dg sdkit sobekan dan goresan di plastik pembungkus. Tp sepatunya Bagus, nyaman dipakai dan ringan. Semoga tahan lama.",bintang 5,1 bulan lalu,"Gio Saverino Sepatu Sneakers Pria Leo Black Casual Shoes - BLACK RED, 39",Alas_kaki,2025-06-25 16:10:41
