review,rating,date,product_name,category,scraped_date
"Sumpah sih sepatunya kece beut dah, dijamin gak nyesel deh. Solnya juga bagus empuk bgt, pokonya nyaman deh untuk di pakai seharian😝😁😉",bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
"Bentuk dan ukuran: Pas di kaki suami aku
Aroma: Tidak ada aroma tajam yg mengganggu
Daya tahan pakai: Sepatunya sangat nyaman dipake tdk kasar dan tebal
Warna: Warna sesu...",bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
"Pesanan sesuai, tidak ada kerusakan barang, packing biasa tanpa bublewrap",bintang 5,7 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
Asli bagus banget... Sesuai expetasi harga segitu keren bgt...,bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
Cantik sesuai di foto.sol empuk. Biasa beli sepatu ukuran 41 masih ada celah dikit ini pas pas. Mungkin buat yang lain mau beli dan suka yang ada celah dikit bisa pesan u...,bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
"Warna: Putih
Bentuk dan ukuran: Zise 40
Daya tahan pakai: Agak tipis sihh
Tpi puas dgn hasilnya pas banget di kaki suamiku🥰 next order lgi sihh ini",bintang 4,3 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
Makasi kos kakinya mind cuma kok no41 nya kecil dkit tapi pas buat kaki,bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
Sepatunya sangat bgus cuman syg terlalu kecil,bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
barang dtng sesuai pesanan ukurannya jg sesuai... bagus tebal alas bawahnya karet jd gk licin... ccok buat ank bujang sy... smoga dia suka ... makasih seler smoga lancar...,bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
"Masyaallah... sepatunya bagus bangets 🥰🥰🥰bagus...bagus dan bagus ,sesuai ekspektasi.....terima kasih untuk tokonya yg amanah semoga berkah barokah dan terima kasih ban...",bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28
"Barang sesuai pesanan trimksh, asli bagus banget",bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
"Bguss,,,tpi di aku agak kebesaran krna ukuran kaki ku 38, tpi gpp lh dpt bonus kaos kaki trimakasih toko nya😁😍",bintang 4,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
Asli cakep sih. Ada bonus juga kaos kaki. Makasih,bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
"Sepatu nya bagus sesuai di gambar pengiriman nya cepat juga, mantappppp",bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
Spatunya bagus dan keren thank you kang kurir,bintang 5,2 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
"kereennn sesuai yang di iklankak, pengiriman cepat tepat waktu",bintang 5,3 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
"Bagus sesuai pesanan cuma packing nya kurang rapih,dusnya rusak,buat sepatunya baguss semoga awet 🍂",bintang 4,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
Sesuai dengan pesanan tidak rugi  belanja di toko ini dan kurir nya sangat ramah👍👍,bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
Sesuway yg di gambar cakep banget sepatu nyah anak aku suka 🫰🫰,bintang 5,3 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
"Bentuk dan ukuran: passs
Warna: sesuay
sesuay pesanan di poto",bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:34
Mantap gan barang sdh smp dan sesusi di gambar sangat puas baik ukuran dan kwalitas,bintang 5,3 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:40
"sepatu sesuai di foto,nyaman di pakai bagus juga pokoknya ok",bintang 5,2 minggu lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:40
