review,rating,date,product_name,category,scraped_date
"Real bagus,kualitas ok,seperti sepatu mahal
Aslinya murah 100 rb... Itu kartu apa ya?",bintang 5,9 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
"Sepatunya bagus kak tapi kekecilan ,udah nambah satu size sesuai arahan tapi masih kekecilan",bintang 5,2 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
"Barangnya bagus sesuai sama yang di live tapi alasnya kurang tebal buat kerja berdiri 
Selain itu semua bagus sesuai ga nyesel beli di sini next beli lagi",bintang 5,2 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
Barang nya bagus ukuran nya pun pas mudah mudahan awet,bintang 5,7 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
"alhamdulillah sepatunya sesuai pesanan pengiriman cepat harga murah barang mewah
Ukuran juga pas, produk lokal gak kalah bagus kualitasnya,udah di sol rapih bett..talinya...",bintang 5,4 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
Barang nya bagus sesuai dengan pesanan kuliatas nya juga tebal pas di kaki thank you seller atas pesanan pertamanya gak ngecewain,bintang 5,9 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
mantap barang sampai dng selamat sesuai dng ekpektasi 👍,bintang 5,3 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
Barang sudah di terima trimksih sesuai pesanan,bintang 5,1 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
Wih mantap kaka suka skali  mantap pokoknya,bintang 5,2 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
"Sepatunya sesuai pas dan bagus kualitasnya
Bentuk dan ukuran: Pas dan sesuai
Daya tahan pakai: Tahan lama
Warna: Sesuai",bintang 5,4 bulan lalu,"Luckyfanstore Sepatus Fashion Casual  - D27 pria shoes sport kasual  running Sneaker - Abu, 39",Alas_kaki,2025-06-25 16:04:52
