review,rating,date,product_name,category,scraped_date
"Warna: Blur white
Bentuk dan ukuran: Sesuai
Bagus menurut  aku sih ini worth itu banget peking nya juga tapi menggunakan box dobel sudah free 2 tapi dan kaos kak I pengir...",bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
Rekomen banget kualitas produk sangat Ok e peking tapi menggunakan dobel box free 2 kali dan kaos kak I Keren banget pokok nya gak baikal nyesel belin di sini,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
Masya allah amanah dan Bagus banget barang nya mantap lah gak baikal kecewa belin disini peking nya juga menggunakan box dobel free kaos kali Bagus lah,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
"Warna: Black white
Daya tahan pakai: Semoga awet
Sepatu nya Bagus nya main banget di gunakan nya suka poll peking tapi tôp lah",bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
barang sudah si terima.bagus dan juga nyaman,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
Sepatunya bagus bang dan desain nya ga kalah jauh sama yang asli cuma mines di outsolnya keras+licin pas di pake kaya sepatu pantopel njir,bintang 4,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
Tapi nya ragu karena lihat ada ulasan negatif cuma ternyata kualitas produk cukup Ok e peking juga tapi free kaos kali Makasih ya min semoga tambahan rame,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
"Bentuk dan ukuran: 40
Warna: Hitam
Cukup memuaskan",bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
ALHAMDULILAH produk sampai ke adak an selamat kualitas produk oke sih menurut aku peking juga rapi mimin nya ramah banget top pokok nya,bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
Bagus sih tapi minus talinya ga tebal,bintang 4,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:43
"Paket sdh tiba..
Produknya mantap,dikemas double box...
So special..
Thanks seller, you are the best👍🏻",bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
"Bagus  ,casual , cocok sama outfit apa aja 😍 sukses trs toko nya",bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
Sepatu nya sdh sampai bagus toko nya amanah.trimakasih buat kurir nya ramah.,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
"Paket mendarat dengan aman, sesuai dengan pesanan",bintang 5,5 hari lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
Bagus barang nya amanah poko nya,bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
Bagus sekali ka mantap terimakasih ka,bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
Sesuai pesanan perfect bahan tebal jaitan dan lem rapi. Seller amanah recomend.. 👍,bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
"Sepatunya keren banget bahannya bagus jahitannya rapi ukurannya pas empuk ringan dapat bonus kaos kaki dan tali sepatu, pengen pesan lagi warna lainnya pokoknya puas deng...",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
"kesempurnaan hanya milik allah
Tapi ini sepatunya baguss buat diharganya tapi kayanya bulu suedenya inima kalo sering dicuci pada copot tapi mantaplah buat looksnya",bintang 4,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
Alhamdulillah pesanan sesuai deskripsi,bintang 5,2 minggu lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:49
"Bgus sesuai pesanan ,TPI sayang dalam nya gak di jahit,kayak cuma di press aja.takut mudah lepas tapak nya...semoga kdpn nya kualitas di tambah.
Dapat free kaos kaki dan...",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
"Barang sampai, untuk pemesanan sesuai yah sesuai dengan harganya lah, lumayan bagus gak kaya keliatan murahan juga, Terima kasih bos toko",bintang 4,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
barangnya bagus sesuai ekspektasi keren minusnya kekecilan dikaki ku ternyata,bintang 5,3 hari lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
"ada putih putih gitu truss packing nya kurang aman jdi saya kasi bintang 4
full black",bintang 4,3 minggu lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
"Kemasan rapih,cuma klo di barang agak kurang mungki gara2 harga juga.sekian trima kasih🙏",bintang 3,4 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
barang nyaa baguss sesuai sama yang di foto nyaaa + dapet bonus kaos kaki juga,bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
nih bagi kalian yg bingung talinya kepanjangan bisa ikutin akalan saya,bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
bagus manten cuma tali nya tipis sya sampe beli tapi baru,bintang 3,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
"Mantap sepatu nya,seperti foto iklan nya.",bintang 5,4 minggu lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
paket baru sampe lngsg dibuka ternyata bagus min mantap👍,bintang 5,2 minggu lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:54
"BAGUS  BOX NO MINUS TAPI LUBANG TALI SEPATU NYA KURANG 1 
HARUS 7 INI MALAH CUMAN 6",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
Barang tidak sesuai foto penjualan tulisannya sablonan lalu talinya cuma lebar ga tebel,bintang 1,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
Alhamdulillah paket ku sudah Dateng sesuway pesanan mantep bangget terima kasih dan ada bonus nya juga kaos kaki sama tali sepatu nya ada 2,bintang 5,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
"Warna: Hitam
Bentuk dan ukuran: Sesuai
Bagus dan keren",bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
"Bahannya bagus sesuai harga, ukurannya pas, min lem nya kurang rapih sebelah",bintang 4,4 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
"Barang nya bagus nyampe cepet lagi tapi ada yang kurang min harus nya sih ada free tali nya 2 kaya emoe + stiker lagi mantap lah pokok nya 🤩
Bentuk dan ukuran: 41
Warna:...",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
Sesuai  ekpetasi aku Bagus worit banget free kaos kak I,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
moga awet² aja ya bang trus kaya ada kotor² gitu bang,bintang 4,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
bagus bgt sumpah!! dgn harga segini overall worth it!!,bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
"Sedikit kecewa karena Odslod/bawah sepatunya licin,gambarnya sablon dan soalnya kurang rapih, BARANGNYA KW ini juga kaya udh di pake kotor soalnya 😤",bintang 1,4 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:08:59
"Mantab, ukurannya pas banget, nyaman di kaki",bintang 5,3 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
Paket telah datang...pad bsnget d anaku kemasan rapih...dusnya d dobel lagi jadi dus sepatunya aman👍,bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
"bahannya bagus, enak di pakai dan sesuai pesanan, pengiriman nya cepat saya suka",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
"Mantap barang sampai dengan aman meskipun ada masalah teknis ya gpp,saya kasih bintang 4 karena katanya ada bonus tali cadangan dan stiker tapi pas saya cek tidak ada han...",bintang 4,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
"Barangya lumayan bagus, walau agak lama sampainaya 👍👍👍👍",bintang 4,2 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
"Pesesn skrang dtengnya bsok, cepet banget pemgirimannya",bintang 5,1 bulan lalu,"Promo Sepatu P*MA Classics Pria Formal Suede XL Royal Blue White Sepatu Sneakers Pria Wanita Unisexs Premium High Quality - Blue White, 39",Alas_kaki,2025-06-25 16:09:04
