review,rating,date,product_name,category,scraped_date
"Alhamdulillah barqng pesanan nya sudah nyampe wlw agak lama.mnunggu,pekingy l7mayan.rapih wlw karfus nya rusak g pp oh yg penting barangy rapi bagus tidak rusak ,trimakas...",bintang 5,8 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"Sepatu nya keren banget,,kurir nya jga baik banget dan udah langganan 🥰🥰😘🙏",bintang 5,2 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
Alhamdulillah mendarata dengan aman warna ny oke,bintang 5,2 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"Bagus  sesuai dengan pesanan dan harga cantik🙏,,",bintang 4,Lebih dari 1 tahun lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
Bagus sesuai gambar dan kain bagus,bintang 5,9 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"Bentuk dan ukuran: Pas
Warna: Sesuai",bintang 5,5 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"2 hari langsung nyampe masyaAllah suka banget baru beli disini langsung suka ,kualitasnya bagus,nyaman di pakek ,ringan,terimakasih reseler
Bentuk dan ukuran: Pas
Aroma:...",bintang 5,3 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
Biasa pake uk 37 dinaikin satu Size ternyata enak banget sepatu bahan empuk ringan kualitas ok warna cantik jahitan rapi,bintang 5,8 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"Bentuk dan ukuran: Pas nyaman di kaki suka banget sepatu nya ,mau beli warna lain lagi",bintang 5,1 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
"Kreennnn nyaman, sesuai deskripsi, pas di kaki aku yg kurus,biasa pake 37, buat kaki lebar aku saranin naik size",bintang 5,Lebih dari 1 tahun lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:19
Puas sesuai harga brng bgs nyaman ringan pengiriman CPT,bintang 5,2 hari lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Alhamdulillah sesuai expektasi,lumayan ringan d bawa olahraga jalan dan lari semoga aja nyaman yaa. 
belum ku coba untuk olahraga,br di cobaa untuk foto doang karena bara...",bintang 5,2 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
Terimakasih.. Barang sudah diterima dengan baik... Sesuai orderan... Packingannya cuma box aja jd sepatu rada penyok.. Tp tidak masalah.. Karena semuanya aman.. Sukses se...,bintang 5,8 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
Alhamdulillah pesanan aku udah sampai sepatunya bagus dalamanya lembut enak di pakai. Ukuran nya di tamba 1 zise pas banget enak dipakai berolahraga🤗😍,bintang 5,2 hari lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Pengiriman cepat
Sepatu ringan dan lembut",bintang 5,1 minggu lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Barang nya bagus banget,,,real pict,puas deh,,,pokonya belanja di toko ini,terima kasih udah amanah 🙏🙏",bintang 5,8 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Sumpah ni sepatu enak banget di pakek lari,ukuran dn wrna sesui.tokonya amanah jadi gk prlu ragu blnja di sini.bakal jadi langganan ni🥰🥰tak kasih bintang 20 ya sukses b...",bintang 5,1 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Ringan, bagus.. Recommended... Kece parah...",bintang 5,1 hari lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
"Cukup bagus dan keren.
Ukuran 37 pas di kaki",bintang 5,1 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
Sepatunya keren ukuran 37 pas....telapak nya lembut sepatunya ringan..dan terimakasih buat kurir nya ya yg ramah dan amanah,bintang 5,1 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:25
Bagus real pic sama yg di foto AA sukaa sekali PKK nya bakal langganan disini terus,bintang 5,8 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:29
"Bahannya bagus sesuai pesanan.
Bentuk dan ukuran: Pres agak kekecilan biasanya pake no 40. Mungkin di up 1 size kali yah
Warna: Cantik cerah",bintang 5,9 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:29
"Sepatunya bagus,tebal,ringan dan nyaman di kaki 🥰terus pengiriman nya jga sangat cepat,😊 terimakasih kak😊",bintang 5,11 bulan lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:29
Bagus ukurannya pas sangat nyaman dan enak dipakai olahraga,bintang 5,Lebih dari 1 tahun lalu,"VN Sepatu Blu Sneakers Wanita Sport Shoes Casual Black A74 - BLUE, 36",Alas_kaki,2025-06-25 16:01:29
