review,rating,date,product_name,category,scraped_date
barang tidak sesuai kak lcdny pecah hancur,bintang 5,1 bulan lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
"Responsif, Packing aman, PC working well. Sukses jualanya, semoga bermanfaat dan awet PC nya.",bintang 5,1 bulan lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
beli 2 pcs.. pakingaman beut.. ditesnyala smua .. dapet  kumplit keyboard mouse usb hub ext.. josss.. mantaaap,bintang 5,5 hari lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
"barang BARU, di terima kondisi aman. rekomendasi seller.",bintang 5,3 minggu lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
"Sesuailah..,yah meski pengiriman makan waktu 5hari kerja.",bintang 5,3 minggu lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
Terbaik sangat. Recommended sellerrrr,bintang 5,1 bulan lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
"sedikit kecewa dengan janji diberikan key. dan mouse wireless.ternyata yang diberi sesuai deskripsi..
memberikan janji plsu",bintang 5,1 bulan lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
bagus banget,bintang 5,5 hari lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
"Mantap, berfungsi dengan baik",bintang 5,4 minggu lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
Sesuai deskripsi,bintang 5,1 minggu lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:23
ok nice good job,bintang 4,4 bulan lalu,"HW Komputer Full PC All-in-One Baru Terbaru HD Super Tipis Intel Core i3/i5/i7 Untuk Rumah, Belajar, Kantor, Gaming dan Hiburan - 19/22/24/27 Inch Curve Gratis Keyboard dan Mouse! . Kemasan karton dan busa Rak Kayu Inklusif.Garansi 1 Tahun. Kabel Layar - i3-3220/8G+128G, 19 inch",Elektronik,2025-06-25 16:17:28
