review,rating,date,product_name,category,scraped_date
real pic dan sesuai harapan,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"overall OK dan berfungsi dengan baik. saran: supaya angin lebih terasa,  baling2 di variasi pasangnya (normal-dibalik-normal-dibalik dst.). silakan dicoba. adeeem kok. te...",bintang 5,3 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
Mantab sesuai pict...berfungsi semua..terimakasih,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"Sampai di gorontalo dengan selamat, estetik hasilnya di plafonku. Nilai 100 guys",bintang 5,5 hari lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"Barang ok
Sesuai dengan deskripsi nya. 
Bagus 👍👍👍 suara nya agak senyap
Gak trlalu berisik. 
👍👍👍👍👍👍👍👍👍👍",bintang 5,1 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
bagus kak barangnya..wlaupun ada balingnya agak retak sedikit. terima kasih,bintang 5,1 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"Bagus sekali, tapi adanya warna putih, hitam cepat habis.",bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
Mntap untuk ukuran kamar kosan,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
Mantap dan pengirimannya sangat amanah.. Semoga semakin bertambah maju,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"JELEK TIDAK SESUAI YANG DI HARAPKAN, ANGIN TIDAK TERASA😠👎👎, BALING2 NYA KECIL",bintang 1,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:06
"alhmdulilah 3 Kali Saya Beli Banyak Yg Suka , semoga Dapat Murah Ongkir nya Supaya Bisa Beli Lagi",bintang 5,5 hari lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
iiihhhhh keleeen,bintang 5,3 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Trimakasih Semoga Ada geratisan Ongkir lagi Biat Bisah Pesan lag,bintang 5,,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Berfungsi dengan baik,bintang 5,2 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Barang sesuwai,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
"cakep, mantap 👍",bintang 5,3 hari lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Bagus barangnya,bintang 5,4 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Barang Oke,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:10
Mantap,bintang 5,2 minggu lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:17
Mantap,bintang 5,1 bulan lalu,Kipas Angin Lampu Plafon INFICO INF-520 B Langit-langit Rumah Remote Control Lamp LED Jumbo 20.5in 40Watt - HITAM,Elektronik,2025-06-25 16:16:17
