review,rating,date,product_name,category,scraped_date
"dari dulu baru kali ini beli online agak aneh pengiriman nya,, haha
kiriman tidak sesuai, malah dikirim ulang melalui toko oren, drone mudah dimainkan, cuma kamera burik...",bintang 4,3 hari lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
"Barang sesuai deskripsi
Berfungsi dengan baik
Petunjuk cara kalibrasinya di kasih tau
Packing aman
Makasih",bintang 5,8 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
mgkn kardusnya perlu dikasih yang lebih tebal...karena kardus asli ringsek kegencet2 kayaknya....bagian atas drone adakepalanya posisi miring kayak bekas ketindihan untjn...,bintang 5,8 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
Mantab! jangan lupa baterai remote A2 ya.,bintang 5,6 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
"penjualnya fast response, packingnya lumayan rapih",bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
"Alhamdulillah barang sudah sampai, 
mantap, dengan harga segitu sudah bisa latihan menerbangkan Drone,",bintang 5,4 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
"Keren berfungsi dengan baik 
dan part nya lengkap
Terima kasih admin",bintang 5,6 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
Barang sudah diterima lengkap asesoris semoga enak dipakai .Barang paking aman dari benturan,bintang 5,2 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
Datang sesuai deskripsi dan cepat datang,bintang 5,3 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
drone sudah dicoba ok pengiriman cepat ok juragan,bintang 5,1 minggu lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:47
"produk bagus ,, berfungsi dgn baik ..
respon & pengiriman : baik & cepat..
packing rapi & aman ..",bintang 5,1 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
"tolong infokan ke saya, bagaimana cara memfoto dan merekam video?krn sy cb beberapa kali tidak bisa connect...tx",bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
"baru 2 hari beli pas di terbangkan uji di ketinggian terbawa angin hilang nggak balik lagi. 
lain kali kalau mau beli drone pilih lah drone yang sudah ber GPS biar bisa p...",bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
aman terkendali,bintang 5,4 minggu lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
"Barang sampai dengan aman sesuai pesanan, bagus . Terima kasih Selller & Tokopedia",bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
aman dan rapi.lebih stabil,bintang 5,5 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
sesuai deskripsi,bintang 5,6 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
Lumayan buat anak belajar jadi pilot,bintang 5,3 minggu lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
saya terima dengan baik dean dengan packing rapi.......................................................................,bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:52
Cukup bintang saja yg bicara.,bintang 5,Lebih dari 1 tahun lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:58
mantaaap,bintang 5,8 bulan lalu,S1S Drone BRUSHLESS Dual Camera 8K Sensor Anti Tabrak Optical Flow - S1S 2 Battre,Elektronik,2025-06-25 16:14:58
