review,rating,date,product_name,category,scraped_date
"barang berfungsi normal...dan cocok untuk pas mati lampu,semoga barang awet",bintang 5,1 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
Power stationnya sudah diterima dengan baik. Packing aman dobel kardus dan bubblewrap. Langsung test charge karena baterainya cuma tersedia 54%. Dipakai charge Hape lanca...,bintang 5,11 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
"Power station Vivan P300 sdh di terima dengan baik, sudah di coba di cash berfungsi dengan baik, pengiriman sangat cepat cuma satu hari sampai. Terima kasih gan semoga aw...",bintang 5,2 minggu lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
"Sesuai pesanan, sesuai deskripsi. Respon, proses dan pengiriman cepat. Terima kasih.",bintang 5,1 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
"Barang sesuai, produk sudah di coba dan semua fungsi berjalan baik, seller fast response, terima kasih !",bintang 5,3 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
Semoga berfungsi dengan baik. Sangat berguna ketika ada di daerah,bintang 5,11 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
kardus berlapis lagi.. mantab.. test untuk watt meter cukup akurat.. dan perkiraan waktu tersisa dengan beban 220VAC lumayan bisa jadi acuan.. sippp..,bintang 5,5 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
mantol.. ga pake lama.. sat set lsng selesai,bintang 5,11 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
"mantapppppppppppppppp,,,,   kasih beban 300 watt cuma bertahan 1 jam,, kalo beban 100 watt cuma bertahan 3 jam.. lumayan lah termurah dan mantap bisa buat cas hp 3 skalig...",bintang 5,6 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
kualitas mantapp.. pengiriman cepat.. recommended seller..,bintang 5,4 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:52
Barang berfungsi dg baik,bintang 5,11 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:59
Adapter charger rusak,bintang 2,11 bulan lalu,Vivan VPS-P300 Power Station 600W / 220V 96000Mah 300Wh Powerbank Portable Charger Station Power Supply,Elektronik,2025-06-25 16:13:59
