review,rating,date,product_name,category,scraped_date
"Mungkin kesalahan ekspedisi, krn bocor 🥹",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
packingnya oke ... ga ada yg rusak...mudah2an rasanya sesuai buat jualan minuman,bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
Alhamdulillah sampai pesanan saya. hanya saja ada bekas goresan periksa barang mungkin dikira barang terlarang. sehingga ada beberapa yang tumpah. tapi tak apalah. sebelu...,bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
mdh2an enak blm dicoba klu enak pesan lagi semua varian sesuai jumlah sesuai sesuai deskripsi,bintang 5,11 bulan lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"barang mendarat dengan selamat, langganan terus dari dulu,sampai sekarang pasti pesen rutin,sukses buat olshop nya ya,belum sempet mampir ke toko fisik nya, insyaallah pa...",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"barang mendarat dengan selamat, langganan terus dari dulu,sampai sekarang pasti pesen rutin,sukses buat olshop nya ya,belum sempet mampir ke toko fisik nya, insyaallah pa...",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"barang sampai dengan baik, seller ramah. produk juga bagus.",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"Ini order yg kedua respon chat komunikatif, layanan kirim cepat, rasa nya enak banget...",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"Seller ngirim full speed
seperti biasa toko langganan
tq",bintang 5,Lebih dari 1 tahun lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
"Good service, fast respons & recommended.",bintang 5,10 bulan lalu,Bubuk Minuman Aneka Rasa 99 Variant 1 Kg - Tulis Variant Pada Catt Pembeli,Makanan_minuman,2025-06-25 16:30:35
