review,rating,date,product_name,category,scraped_date
"packing rapi dan aman,  sesuai dengan pesanan, mau dibawa keluar negeri, semoga rasanya cocok dilidah",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"Gudeg sudah diterima sesuai pesanan dan aman. Seller packing rapi pakai bubnle wrap, jdi kaleng aman dan ga penyok. Udh dibuka dan expired msh 2025. Udh dicobain dan rasa...",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"Respon cepat, packaging aman, tasty, sesuai harapan.",bintang 5,3 bulan lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"Rasanya enak, respon seller sigap & pengiriman barang juga cepat, terima kasih.",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"yang penting praktis.
untuk rasa enak,pastinya ketagihan.",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"bagus baru pertama order, mau coba rasanya bagaimana, oke. 👍👍",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"produk sampai utuh, tidak pecok, tidak berdebu.",bintang 5,3 minggu lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
Seller baik banget. Benernya gak ada pengiriman instant apalagi pesannya di weekend sore. Namun seler mencoba karena memang gudeg kaleng ini request dadakauntuk handcarry...,bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"Enak, sesuai iklan. Seller responsif, sudah langganan 👍🏽",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
Enak… seperti biasa rasanya dan kayaknya bakal beli lagi sih,bintang 5,10 bulan lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:40
"Pengiriman cepat, harga bersaing, Dan seller responsive - terima kasih",bintang 5,8 bulan lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:44
"Respon penjual baik.
Kemasan baik, barang smp dgn selamat, g ada yg penyok.
.....👍.....",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:44
"pengiriman cepat,dikemas baik, bagus",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:44
"beli kedua kali, proses cepet.. kemarin pesen, hari ini sampe, recommend",bintang 5,Lebih dari 1 tahun lalu,Gudeg Kaleng Bu Tjitro All Varian Special Promo - Basreng Orignal,Makanan_minuman,2025-06-25 16:22:44
