review,rating,date,product_name,category,scraped_date
Barang tiba dengan baik. Pokoknya goodlah.,bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"rasa oke walaupun agak sedikit ketis (keras) tapi masih wajar, porsi pas untuk 1 orang, bumbu oke, rekomen untuk dibawa travelling!",bintang 5,10 bulan lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"pengiriman: cepat

pengemasan: rapi dan pakai bubble wrap

harga: kayaknya ini yg paling murah waktu nyari2 di tokped

kualitas: pengen nyobain teknologi makanan kemping...",bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"Makanannya enak, packaging bagus dan kualitasnya bagus",bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"proses dan pengiriman sangat cepat, exp date lama, untuk rasa belum dicoba",bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"review jujur :
untuk nasgor nya jujur tidak enak, nasi tdk ada wangi beras nya, bumbu terlalu pekat, ini trgntung selera yah.
nasi kuning sy ga brani buat lg.
ini sy tuan...",bintang 4,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"Jumlah dan items Barang diterima sesuai orderan. Update rasa jauh dari enak, bahkan terasa aneh di lidah gak sesuai ekspektasi nama judulnya. 

Masukan ke depan semoga un...",bintang 3,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"Barang nya sesuai tidak ada yg kurang, expired date nya msh 2025 semua, tengkyuuuuu seller",bintang 5,11 bulan lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"Produk sesuai, rasanya lumayan, cukup lah buat makanan di alam, cuma tinggal kasih air nunggu 15 menit bisa makan, tp seller aga slow respon, mungkin bisa di perbaiki pel...",bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"terimakasih sdh sampai.. semoga enak.. exp jg msh lama.. packing aman👍
terimakasih kurir",bintang 5,9 bulan lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:33
"penjual ramah, baik dan sangat membantu ktika bertanya.
barang dlm kondisi baik
recommended 👍",bintang 5,Lebih dari 1 tahun lalu,"Makanan Instan H EAT Makanan Gunung Nasi Putih, Nasi Goreng Rendang - Glai Dging Sapi",Makanan_minuman,2025-06-25 16:24:38
