review,rating,date,product_name,category,scraped_date
"Enak enak uenak bgt aku aja sampe setengah makan nya besok aku beli lagi deh nagih banget oh ya sama packaging nya buble wrap nya tebel banget next to order!.
Kualitas pr...",bintang 5,6 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"ETDAH BUSET, gua kenal ini bittersweet kayanya pas taun 2023 dah & sampe sekarang gua masih cinta mati ma snacktok nya ini, apalagi yang nutella BEUUUHHHH 🔛🔝 lu suk...",bintang 5,6 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"ekspektasi aku terlalu tinggi kirain kaya difoto lumer bgt tiramisunya trnyta ngga,tpi enak tetep kurang banyak aja selainya",bintang 4,5 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
Ini enak bgttt snacknya gurih suka cuman emg glaze atau toppingnya agak terlalu manis,bintang 4,5 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"First time nyobain bittersweet by Najla 
Dan ternyata enak banget , the best pokoknya 🤤",bintang 5,4 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
Snacktok emang nagih apalagi kalo lagi promo buru-buru CO seenak itu pokoknya udah order berkali kali,bintang 5,6 hari lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"enakkk, tpi diaku kemanisannn bngett",bintang 5,4 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"Kirain bakal ketutupan coklat semua, ternyata nggak. Banyak yg ga kena coklat nya. Tapi rasa tetap enak kok",bintang 4,6 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"Enakk crunchy, suka bgtt yaa meskipun macha nya ga sebanyak yg dibayangkan",bintang 5,5 hari lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
"Pengiriman agak lama terus wadah nya sedikit🤏 penyok tpi gk pp kok
MasyaAllah rasa nya enak bangett💗💗🤩 Thebes deh buat kak NAJLA💐💗",bintang 5,6 bulan lalu,[ BTS ] Satuan Snacktok ( Pilih Variant ) - Nutella Full Cookies,Makanan_minuman,2025-06-25 16:26:28
