review,rating,date,product_name,category,scraped_date
"bahannya agak tipis sih menurutku, tapi nyaman+adem bahannya, ukurannya sesuai (pas), gua dapet harga diskon segitu mah kalo gua worth it"" aj, dan jg pengiriman pun i...",bintang 5,4 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"ukuran pas dan nyaman saat dipakai, menggunakan pakaian atau tidak menggunakan pakaian tetap nyaman untuk digunakan",bintang 4,2 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
jahitan banyak yg ngga rapih dan kualitas tidak sesuai foto dan harapan saya.,bintang 1,2 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"barang sampai tujuan, sesuai pilihan. 👍",bintang 5,1 minggu lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"ukuran M nya pas di badan tapi panjang lengan nya kurang buatku, bahan nya gak terlalu tebal tapi gak terlalu tipis juga. untuk warna nya jujur kurang suka karena real ny...",bintang 4,7 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"kain standart sesuai harga cuma jahitannya kurang rapi dan bentuknya juga gak rapi lebih diperhatikan lagi sih biar bagus, walaupun murah tapi kalau bisa lebih rapi.",bintang 4,1 minggu lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
Model nya mantap dan kualitas bahan oke bgt saya suka design nya dan warna nya oke.. Untuk harga nya wotrh bnget,bintang 5,6 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"pokoknya keren deh barangnya, harga reasonable, udah pembelian ketiga, worth it buat di beli/koleksi, saran klo mau beli ukuran paling besar XXL, cocok untuk tb-bb berapa...",bintang 4,6 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"keren, bahannya hangat, sesuai yang digambar, pengiriman lama",bintang 5,2 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
"good lah.. kualitas sesuai harga, bahannya agak tipis dan cukup lemes, jadi harus dipake bareng daleman biar ga ngeplek bodi",bintang 5,7 bulan lalu,"Crewneck Halfzip Polos Bahan Fleece Unisex Priaa Dan Wanita Oversize Basic - ABU MISTY, M",Pakaian_pria,2025-06-25 15:49:05
