review,rating,date,product_name,category,scraped_date
"Bahannya oke, tidak terlalu tipis ataupun terlalu tebal. Cukup menghangatkan tapi tidak bikin gerah. Barang sesuai pesanan. Kecepatan pengirimannya juga normal. All good...",bintang 5,3 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"Oke bahannya GK terlalu halus, tapi lumayan untuk di pakek buat jalan ke mall, rekreasi, siplah enak GK terlalu besar GK terlalu kecil bahannya agak tebel okelah",bintang 5,5 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"Baru pertama kali beli, bahannya lembut, tidak terlalu tebal, tidak terlalu tipis. Jahitannya lumayan rapih dan kuat. Ukuran juga sudah sesuai di badan. Recommended lah.",bintang 5,5 hari lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"ukurannya pas, bahan adem ga panas, kalau udara dingin menghangatkan, cocok saat udara dingin ataubpanaa",bintang 5,1 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"sampe dengan cepat, sesuai pesenan dan warnanya tp ternyata cream terang mirip kuning yaa. bahannya adem dan alus, cuman ga begitu tebal yaa, karet ujungnya jg masih pake...",bintang 5,3 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"kualitas bahan nya keliatan bagus... ukuran pas, malah agak lebih besar .. Semoga awet...
Thank you",bintang 5,5 hari lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"bahannya bagus baget, gk ngecewain dah pokonya🫠",bintang 5,3 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"paket sudah diterima, bagus, adem bahannya, terima kasih ya",bintang 5,1 minggu lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
"barang tidak sesuai ekspetasi, kerah crewnecknya tinggi sebelah, jadi keliatan miring, ga sesuai seperti yang difoto, tolong diganti dong, kalo gini jadi males+malu mau m...",bintang 1,5 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
Bagusss dan nyaman kok bajunya. Bahannya agak tipis tp wajar dgn harga segitu dpt murah. Ukurannya pass banget sesuai dgn gambarr kok👍,bintang 5,3 bulan lalu,"Crewneck Polos Halfzif Bahan Fleece Pria Unisex sweater Dewasa Panjang - DENIM, M",Pakaian_pria,2025-06-25 15:54:47
