review,rating,date,product_name,category,scraped_date
"jaketnya bagus sesuai dengan deskripsi, dengan harga segitu ini termasuk murah, seller juga ramah  return juga gampang, karena saya salah salah size L tuker XL.
tapi saya...",bintang 3,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"agak beda bahannya dg yg di modelnya.
tapi lumayanlah",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
Fast delivery. Cuma ada salah warna tapu ya sudahlah. Pesan 1 hitam dikirm mocca dua duanya,bintang 5,1 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"seukuran dgn postur badan dan sesuai deskripsi produk. Warnanya cocok. Bahan agak kasar tapi OK. Resleting model tutup water resistance. Bagian dalam bukan puring jaring,...",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"pengiriman cepat,modelnya bagus,bahannya rd tipis,jahitannya kurang rapi dikit,belum dicoba sih,semoga pas",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"modelnya pas..bahannya bagus dan nyaman, klo keujanan ga rembes..ini udah order ke dua..puas belanja disini",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"bravo kk penjual, sangat membantu dan professional menjaga kepuasan pelanggan, benar² recommended, pertama sy beli ukuran kekecilan dan warna sy bermaksud merubah dan d r...",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"mantap, barang bagus sesuai deskripsi 
pengiriman cepat",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"Terimakasih pesanan sudah sampai kemasan bagus barang bagus dan sesuai rekomendasi untuk beli di toko ini
Saran saja sih, lengan sedikit di perbesar jadi tidak telalu ket...",bintang 5,2 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
"model simpel tapi tetep keren.. warna sesuai di deskripsi, jahitan lumayan rapi. puas",bintang 5,1 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:41
bahan parasutnya tebal..bagus..kualitasnya oke sepertinya anti air juga..terima kasih,bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"modelnya bagus, bahan enak dipakai untuk motoran, seller amanah, pengiriman cepat",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"model keren tapi kurang mirip pict, warna lebih tua dari picture, bahan aga tipis, aga di bawah ekspektasi sih.
tapi pelayanan sat set.
ekspedisi meski gratis ongkir juga...",bintang 4,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"Pas ukurannya, jahitannya rapih, nyaman dipake, simple modelnya aku suka..",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"udah enak dipake sih nyaman, tapi pas nyampe malah salah ukuran jadi kegedean yang tadinya pesan yang XL yang datang malah XXL",bintang 4,2 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"warna abunya ukuran XXL ya yg dikirim ngg sesuai. panjang dibawah 70 cm, lengan ngg smpe 60 cm",bintang 3,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"fast respon, packing aman n bagus jg model nya. PAS",bintang 5,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"model keren
warna sesuai pesanan
ukuran pas bgt",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"ukuran pas, bahan keren
nyaman dipakai
terima kasih",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
proses dan pengiriman cepat barang bagus kualitas baik,bintang 5,4 hari lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:46
"Respon cpt, pengiriman juga cpt.
Barang cukup bagus, sesuai harga",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
product berkualitas. sesuai iklam. seller responsif. pengiriman rapi n super cepet ⭐️⭐️⭐️⭐️⭐️,bintang 5,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
warna dan ukuran Sesuai pesanan. Bahan nyaman.,bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"model keren , Bagus dan bisa langsung di gunakan",bintang 5,6 hari lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"jaket bomber pria pesanan sudah sampai, kualitasnya baik, keren, sesuai pesanan, harga murah, siap digunakan",bintang 5,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
model dan ukuran pas pengiriman cepat... mantap,bintang 5,2 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"brg pesanansesuai..halus ga panas
kereen..mantaaabb..
thanks yaa..",bintang 5,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"pesenan sudah sampai dan sesuai gambar 
kulir juga sangat respot",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
Paketnya sudah diterima dengan baik dan benar. Kurirnya perlu diberikan reward. Dan saya blum coba jaketnya seperti foto dibawah ini.,bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"model kereeen,bagus dan sesuai dengan keinginan",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:52
"yang dipesan L yang datang M , baru di cek, apakah bisa dikembalikan",bintang 3,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
mantab pas banget sesuai sama kemauan saya pokoknya ok banget deh,bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"Bahan lumayan bagus
Pengiriman cepat",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"barang nya oke banget next kapan"" beli lagi",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"barang bagus, bahan bagus finishing bagus, desain bagus",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"bahannya bagus, modelnya keren, resletingnya bagus, warna sesuai pesanan, jahitannya rapi, packing aman penjual responsif dan pengiriman cpt. recomended.",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"Model keren, bahannya nyaman dan ukuran pas.",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
Sudah saya pakai selama seminggu dan hasil nya saya suka dan nyaman dengan produk nya. makasiih seller,bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"ukuran XL yg kami pesan, tapi masih kecil sizenya, jadi dipake sama anak sy yg SMP",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"barangnya puas banget bener waterproof dipake waktu kehujanan, barangnya dikirim enggak nyampe sehari juga padahal beda kota",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:56:58
"seller ramah dan responsive, pengiriman sangat cepat, thanks kak.",bintang 5,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"saya tinggi 170cm, bb 62kg
coba ukuran L ternyata agak kecil ya 😅😅
tpi overall jaketnya bagus lah, sesuai harganya..
terimakasih",bintang 4,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"kualitas barang bagus, nyaman di pakai, pengiriman super cepat thanks you very mach...",bintang 5,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
warna krem agak gelap tidak terang seperti gambar,bintang 4,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"Seller baik, pesanan saya sgera diproses dan dikirim. Semua dipacking baik, sehingga aman sampai tujuan. Terimakasih banyak. Kiranya sukses selalu.",bintang 5,1 hari lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
walaupun sempat nyasar barang nya ... hubungi kanan kiri... untungnya barang akhirnya sampai,bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"bahan dan harga oke banget, hanya pengiriman yg agak telat jadi belum sempat dipake, thanks",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
paket sdh sampai dgn aman model keren sesuai harga lumayan nyaman dipakai respon penjual cepat kiriman cepat terimakasih,bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"Pas, sesuai pesanan dan nyaman saat dipakai.",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
ukurannya lebih kecil dari ukuran umumnya,bintang 4,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:02
"cakep barangnya,pas pengiriman tepat waktu.mantap.untuk toko pertahankan terus produknya,kurir ramah",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
Paket Jaket Bomber Pria Waterproof sdh diterima sesuai pesanan.,bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
"Modelnya ok dan ukuran, dan warna sesuai, enak di pakai jiga",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
ukuran nya pas model nya kreeenn trima kasih,bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
sesuai harga laah.. bukan bahan yg alus..,bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
terimakasih atas jaket harga terjangkau ini. barangnya bagus sekali. saya suka,bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
"sesuai sama harga
jgn berexpetasi terlalu tinggi",bintang 5,1 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
anti air kalau lg hujan di pake nya di dalam ruangan,bintang 3,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
jukuran tidak sesuai sama yang ditulis terlalu kecil.. barang tidak sesuai dengan yang dipilih kemarin pilih abu yang datang hitam modelnya gak sama  ya sudahlah,bintang 3,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:08
"terimakasih seller n kurir pakenya dah diterima, packingnya rapi n safety n recommended",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"Alhamdulillah barang sudah sampai.
Bagus barang nya 
tepat waktu sampai nya.

anfa layak dapat ⭐ 5",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"barang sudah keterima, jahitan rapih size pas, tks",bintang 5,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
ukurannya xxl tidak seperti sebenarnya. kayak ukuran xl.  ud gtu jaketnya panassss bgt bahannya parasut.  siap2 banjir keringat kalo pake siang hari,bintang 1,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"Jaketnya bagus...
Pengiriman tepat waktu...
Makasih bny..",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
Ukuran XXL tdk sesuai dengan panduan...diterima lebih kecil,bintang 3,3 minggu lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"pesan M yg datang L, tapi kok malah pas aja",bintang 4,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"barang sesuai pesanan, terimakasih",bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
"Dari tayangan di video dan foto , barang tdk sesuai dgn yg ditampilkan…",bintang 1,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
bagus tapi kekecilan. sesak sekali,bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:13
modelnya keren  pas dibadan. tidak begitu gerah,bintang 5,2 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:18
"Bagus. Rapih. Kerěn.
Made in Bandung.",bintang 5,4 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:18
"bagus,. lumayan lah.
wlpn ga sama kaya di gambar",bintang 5,3 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:18
"Semoga sesuai dengan iklannya,terima kasih seller",bintang 5,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:18
mau di return ga bisa karna kekecilan,bintang 1,1 bulan lalu,"Jaket Bomber Pria Waterproof Korea Blazer Casual Tebal - Cream, M",Pakaian_pria,2025-06-25 15:57:18
