review,rating,date,product_name,category,scraped_date
"Kualitas produk baik, terutama pada bagian kerah leher. Potongan bagus. Nyaman digunakan. Harga terjangkau.

Semoga lebih banyak promo",bintang 5,5 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"Pembelian kedua, tapi sepertinya cutting agak sedikit berbeda. Lebih longgar (sedikit, sedikit sekali kok). Tapi produk sangat baik dan saya rekomendasikan. Cutting mirip...",bintang 5,2 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"barang bagus sesuai deskripsi, kain bagus dan sangat breathable, packing dan respon seller sangat baik, thanks",bintang 5,3 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"midelnya bagus, bahan juga tebal dan nyaman dipakai. yg terbaik sizingnya pas bagus sesuai dengan ukurannya",bintang 5,3 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"keren!!
bahan lembut, ga panas..
ukuran pas!
mantap!",bintang 5,2 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"Kainnya bagus,tapi xl agak pendek kek ukuran L ,bodynya udah pas tapi panjangin skit lagi",bintang 4,3 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"mantap, fast respon dan siap membantu follow up kalo ada kendala dalam pengiriman",bintang 5,1 minggu lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"Ini pembelian yang kedua karena sblmnya salah pilih size, BB 71 TB 167 cocok pakai size L.. Kualitas produk mantap 👍",bintang 5,2 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
Cakep asli.. Bahannya adem.. Fix bakalan beli warna laennya 😎😎,bintang 5,4 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"Bahan sesuai dengan deskripsi, hampir mirip dengan toko merah sebelah. Bagin leher agak sedikit menutup dan bentuk “O” . Bagian dalam terasa sejuk",bintang 5,2 minggu lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:45:56
"Kualitas produk: Baik
Jahitan rapi dan bagus. Walopun agak sedikit panas makenya",bintang 5,4 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:46:01
"pengiriman cepat, check out kemarin sampe hari ini, bahan adem, cocok untuk olahraga juga",bintang 5,2 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:46:01
Bahannya dak kalah sm sebelah cukup oke dengan harga segini,bintang 5,1 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:46:01
"Alhamdulillah  udah sampai tapi sangat disayangkan kok bisa rusak.. Kecewa banget padahal udah sering beli... Apes banget sih.. 
Tolong di ganti ya mas barang yg kami pes...",bintang 1,3 bulan lalu,"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Pakaian_pria,2025-06-25 15:46:01
