review,rating,date,product_name,category,scraped_date
"warna sesuai
ukuran sesuai
bahan gk tipis gk tebal
makasih seller",bintang 5,1 bulan lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
barang telah sampai dan sudah diterima. bahan agak tipis. ya lumayan lah daripada gak pake baju. semoga awet dan tahan lama aja. amiin ... terima kasih ya ..,bintang 4,,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"bahan nya bagus , model nya keren pas di badan, nyaman di pake PD saat beraktifitas.trimakasih seler & kurir",bintang 5,2 minggu lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"bahan tebal baguss ,cuman saran buat yang TB 175 dengan bb:70 ke atas mending beli yg ukuran L aja, soalnya saya beli XL kebesaran 🤣🤣",bintang 5,3 bulan lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"Barang sudah diterima. Bagus, ukuran pas, pengiriman cepat. kualitas produk sesuai dengan harga.",bintang 5,1 hari lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"kualitas bahannya sangat okee, menyerap keringat, kualitas warnanya sangat bagus dan gak pudar, jahitan rapi, ukuran sangat proporsional...",bintang 5,1 hari lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"Alhamdulillah barang sdh diterima dengan baik sesuai pesanan barangnya bagus semoga awet dan tahan lama sellernya amanah
Kualitas produk: Barang oke rekomendasi
Pengirima...",bintang 5,5 hari lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
jahitan rapi model lumayan bahan tidak tebal,bintang 5,2 minggu lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"fast respon,barang bagus sesuai deskripsi,pengiriman tepat wktu,kurir amanah,recommended Seller",bintang 5,3 minggu lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
"fast response , barang sesuai deskripsi , pengiriman aman .",bintang 5,1 minggu lalu,"T-shirt Kaos POLO List Kerah Gior Since 1981 Text Hitam Polo Kerah Unisex Pria & Wanita - Hitam List Pth, M",Pakaian_pria,2025-06-25 15:52:50
