review,rating,date,product_name,category,scraped_date
Barang sesuai pesanan bahan haluss suka terimaksih seller,bintang 5,4 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"packing aman, pengiriman cepet juga. thank you seller<3",bintang 5,2 minggu lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
Bahannya Bagusss pokoknya Alhamdulillah puasssss 😍,bintang 5,3 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
Bahannya tebal enak dipakai tidak mengecewakan aku bb 63 tidak kebesaran pas nyaman🥰🥰,bintang 5,4 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"Pas badan, nyaman",bintang 5,4 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"Bagus, cpt smpe. Bb 53kg/ 158cm. Ambil ukuran L agak longgar. Ga ngetat. Agak tipis bahan nya. Tp nyaman. Thx seller",bintang 5,1 minggu lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
Awalnya pas dateng g suka. Tp setelah didiemi beberapa hari. Eeh ternyata bagus juga dipakek,bintang 4,3 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"Bagus, cuma pas dateng bau bajunya harus dicuci",bintang 5,4 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
bagus banget nyaman di pakai pas juga d.badann,bintang 5,5 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"bagus bgtt suka, cuma dibody agak kebesaran tp dilengan ngepas its okaii bagus aku suka",bintang 4,4 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:35
"Bagusss... Bahn adem. 
Tapi syg pas leher ngak jahit rapi... Masuk mesin cuci langsung berkelana😇 huu",bintang 4,1 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:41
"Bagus barang nya, adem, pas sama ukuran badan saya😍😍😍",bintang 5,7 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:41
"paket bru dteng blm q coba pas atau gx nya
adem sih bhan nya mah gx gerah",bintang 5,1 minggu lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:41
"Pengiriman cepat ,barang sesuai ,asli bahannya bagus ,lembut adem ,suka bgt",bintang 5,3 bulan lalu,"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",Pakaian_wanita,2025-06-25 15:36:41
