review,rating,date,product_name,category,scraped_date
"Alhamdulillah real pict, bahanya juga adem
Tapi ternyata warna gak sepekat di foto",bintang 5,1 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"bagus bahan nya adem sesuai dgn gambar walaupun panjang nya kek kurang pas sm d gambar tp sukak kok, makasih seller🫰🫰",bintang 5,3 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"MasyaAllah cakep banget ini mah , harga di 50ribuan aja 😍 dapet bahan seadem seenak ini 🤏🏻
Kualitas produk: Bagus,nyaman",bintang 5,4 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"Baju nya baru saja sampai ,pernah beli yg warna hitam ini co yang biru next mo yang merah wkwkwkwk bagus sih model nya,bahan juga adem 😁",bintang 5,2 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"warnanya kayak coksu, bahanny lumayan",bintang 4,1 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
Sumpah bagus bangett gak kecewa bahannya adem dan lembut ga nerawang juga warna caramel nya cutee banget seller nya juga ramah dan fast respon pokoknya bagus banget deh j...,bintang 5,1 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"sesuai dengan yg di gambar , bahan tebal tapi tidak panas bagus pkoknya 😍",bintang 5,4 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"bagus banget
Kualitas produk: bagus banget",bintang 5,4 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"baju nya sangat nyaman adem sesuai ekspetasi, ngga sia sia blanja di toko ini sangat amanah",bintang 5,6 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"bahan kainnya adem,akuu suka
Kualitas produk: bagus",bintang 5,3 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:45
"Sesuai dg harga.
Kain adem , sebelah lobang kancing kainnya mrotol jd bolong , talinya gak pas di tempatnya terlalu kebawah , trs potongan + jahitan model bajunya terlalu...",bintang 3,6 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"bagus, sesuai harganya lah, modelnya juga nggak norak😍utk bb 58 pas sih ini😍",bintang 5,2 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
bagus ih warna birunyaa bahannya juga adem aku suka💗,bintang 5,6 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"Pesanannya sampai dengan selamat, barang nya bagus sesuai dengan pesanan,",bintang 5,2 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
Bagus bahan nya dan adem TPI agak pendek baju nya TPI gapapa,bintang 5,3 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
BAGUSSSS bahannya adem jadi nyaman dipake,bintang 5,5 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"Barang nya bagus kali
Bahan nya tebal dan dingin,sangat memuaskan deh😊☺️",bintang 5,1 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"awalnya ragu mau co krn tulisannya dusty takut di kirim warna dusty bnrn dan ga sesuai foto 😞 tp pas sampe ternyata warnanya bnrn dark choco kaya di foto bgs bgtt, kainn...",bintang 5,1 minggu lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
Bahannya agak nrawang sama kekecilan,bintang 4,3 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"bagus sih, owner jga responsif 
suda deh pokoknya 
sesuai",bintang 5,1 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:50
"Bagus banget bajunya bahnnya juga bagus ,pas,modelnya juga bagus",bintang 5,1 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:56
"Bagus banget, sesuai sama yang difoto. Ngga rugi deh pokoknya sesuai ekspektasi",bintang 5,4 bulan lalu,Blouse Kemeja Polos  Oversize Atasan Basic Wanita Polo Linen Nami - NAMI MAROON,Pakaian_wanita,2025-06-25 15:42:56
