review,rating,date,product_name,category,scraped_date
"seller gercep, bahannya emang bagus dan terlihat mewah sih.. harus pake inner, krn memang menerawang (yg ga berhijab cukup pake short pants dan tank top aja sih, ga perlu...",bintang 5,1 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"Motif sedikit berbeda dengan difoto,but it's ok,sukaaa bngt,dr dulu pen bli kek gn,bru skrg kesampaian 🤭😁 thanks seller,next bakalan order lg",bintang 5,3 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"bagus sesuai x petasi,bahan lembut enak d pake",bintang 5,5 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"Gila sih, bagus banget 😍🥰
AQ kira bahannya yg tipis impring² gitu ternyata dia pas aja ga tebal ga tipis cantik banget 🫶😍🥰🤍
Udah gitu pengiriman wuswus CPT bgt 😂",bintang 5,6 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
Terimakasih sudah amanah... Sukses sllu untuk tokonya... Pesanan sesuai digambar... Barang jg cepat yampenya🤗🙏,bintang 5,1 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
Masyallah bneran ditukar warnanya Bagus banget lov lov,bintang 5,3 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"Cakeep bgt sihhh bahannya juga oke , motiff keren , kualitas sangat lah baguss 🩷🩷🩷",bintang 5,3 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
Wowwwww aslinya bagus sekali cantik nggak rugi donk beli baju nya di sini,bintang 5,3 minggu lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"Baju nya bagus, motif nya juga cantik elegan padahal baru pertama kali belanja disini tapi tidak mengecewakan 🤩",bintang 5,2 minggu lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
Alhamdulillah pesanan untuk yg ke 3 x nya,bintang 5,4 hari lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:31
"sumpah sebagus ni baju nya mewa,sage bunga, cepet pengirimanya,, jarang aq beli baju kondagan di tiktok tkt kecewa alhamdllah ngk ngecewain",bintang 5,6 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:35
terima kasih dress kaftan nya sudah sampai.. real pic.. bagus suka.. pengiriman cepat..,bintang 5,4 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:35
"cakep bangeeeet, nyaman di pakai😍",bintang 5,5 bulan lalu,Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,Pakaian_wanita,2025-06-25 15:39:35
