Model,Split,Features,Accuracy,Precision,Recall,F1_Score,Training_Time,Test_Size,Train_Size
SVM_Linear,80:20,TF-IDF,0.9343339587242027,0.9011551406774791,0.9343339587242027,0.9075186207878714,20.483831,533,2129
Random_Forest_Large,80:20,TF-IDF,0.9324577861163227,0.9370455591348367,0.9324577861163227,0.9046090469489859,5.344571,533,2129
Random_Forest,75:25,Word2Vec,0.9324324324324325,0.9370253939740344,0.9324324324324325,0.9049364046323477,0.277499,666,1996
SVM_Linear,75:25,TF-IDF,0.9324324324324325,0.8994878564364969,0.9324324324324325,0.9041272927121247,21.563145,666,1996
Random_Forest_Large,70:30,TF-IDF,0.9311639549436797,0.9359202143382745,0.9311639549436797,0.9013177435058385,4.31139,799,1863
SVM_Linear,70:30,TF-IDF,0.9311639549436797,0.8993798923717619,0.9311639549436797,0.9029405649570106,19.251044,799,1863
Random_Forest_Large,75:25,TF-IDF,0.9309309309309309,0.9357230533701122,0.9309309309309309,0.9015644851582353,4.328833,666,1996
Random_Forest,80:20,Word2Vec,0.9305816135084428,0.9354186762206605,0.9305816135084428,0.9005113823317273,0.312084,533,2129
Random_Forest_Large,80:20,Word2Vec,0.9305816135084428,0.9354186762206605,0.9305816135084428,0.9005113823317273,0.581629,533,2129
Random_Forest_Large,70:30,Word2Vec,0.9299123904881101,0.9348369904036256,0.9299123904881101,0.8984806310456595,0.52573,799,1863
Random_Forest_Large,75:25,Word2Vec,0.9294294294294294,0.8968870979413148,0.9294294294294294,0.8979797668322258,0.530292,666,1996
SVM_RBF,80:20,TF-IDF,0.9287054409005628,0.896274457250067,0.9287054409005628,0.8960669863108887,59.797485,533,2129
Random_Forest,70:30,Word2Vec,0.9286608260325406,0.9123962677948612,0.9286608260325406,0.8999255202764093,0.285047,799,1863
Random_Forest,70:30,TF-IDF,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,0.76667,799,1863
SVM_RBF_Optimized,70:30,Word2Vec,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,0.33316,799,1863
SVM_Linear,70:30,Word2Vec,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,0.531933,799,1863
SVM_RBF,70:30,Word2Vec,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,0.338878,799,1863
SVM_RBF_Optimized,70:30,TF-IDF,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,12.591132,799,1863
SVM_RBF,70:30,TF-IDF,0.9274092615769712,0.860087938458743,0.9274092615769712,0.8924808608162801,59.428721,799,1863
SVM_RBF_Optimized,80:20,TF-IDF,0.926829268292683,0.8590124925639501,0.926829268292683,0.8916332201296697,15.81206,533,2129
Random_Forest,80:20,TF-IDF,0.926829268292683,0.8590124925639501,0.926829268292683,0.8916332201296697,0.884225,533,2129
SVM_RBF_Optimized,80:20,Word2Vec,0.926829268292683,0.8590124925639501,0.926829268292683,0.8916332201296697,0.393802,533,2129
SVM_Linear,80:20,Word2Vec,0.926829268292683,0.8590124925639501,0.926829268292683,0.8916332201296697,0.693913,533,2129
SVM_RBF,80:20,Word2Vec,0.926829268292683,0.8590124925639501,0.926829268292683,0.8916332201296697,0.459581,533,2129
SVM_RBF,75:25,TF-IDF,0.9264264264264265,0.858265923581239,0.9264264264264265,0.8910445909666486,65.228335,666,1996
